"Cacicus_chrysopterus" "Cacicus_haemorrhous" "Chiroxiphia_caudata" "Conirostrum_speciosum" "Cyclarhis_gujanensis" "Dacnis_cayana" "Euphonia_chlorotica" "Euphonia_violacea" "Penelope_obscura" "Penelope_superciliaris" "Pipraeidea_melanonota" "Ramphastos_dicolorus" "Ramphocelus_carbo" "Selenidera_maculirostris" "Tachyphonus_coronatus" "Tangara_cayana" "Tangara_cyanocephala" "Tangara_desmaresti" "Tersina_viridis" "Thraupis_palmarum" "Thraupis_sayaca" "Trichothraupis_melanops" "Turdus_albicollis" "Turdus_amaurochalinus" "Turdus_flavipes" "Turdus_leucomelas" "Turdus_rufiventris" "Vireo_olivaceus"
"Morus_nigra" 0 0 0 0 0 0.333333333333333 0 0 0.666666666666667 0.333333333333333 0 0.333333333333333 0 0 0.5 0.5 0.5 0 0.5 0.666666666666667 1 0 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333 0 0
"Myrcia_splendens" 0 0.25 0 0 0 0.8 0 0 1 1 0 1 0 1 0.333333333333333 0 1 0 0 0.5 0.2 0 1 0 0.2 0.2 0.666666666666667 0.2
"Myrsine_coriacea" 0.666666666666667 1 0.666666666666667 0.5 0.5 0.666666666666667 0 0.5 0.333333333333333 0.5 0 0.8 1 0 0.75 1 1 1 0.666666666666667 0.75 0.8 0 0.666666666666667 0.75 0.4 0.714285714285714 0.714285714285714 0.833333333333333
"Myrsine_umbellata" 0 0.333333333333333 0.666666666666667 0 0 0.666666666666667 0 0.5 0 0 0 0.5 0 0 0.666666666666667 0.5 0.666666666666667 0.5 0 0.4 0.75 0 0.4 0.428571428571429 0.428571428571429 0.666666666666667 0.4 0.6
"Pera_glabrata" 0 0.666666666666667 0.5 0 0.333333333333333 0.666666666666667 0 0 0 0 0 0 0 0 1 0.166666666666667 0 1 0 0.4 0.333333333333333 0.333333333333333 0 0 0 0 0 0.6
"Piper_aduncum" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0
"Protium_heptaphyllum" 0 0.5 0.666666666666667 0 0.666666666666667 0.333333333333333 0.666666666666667 0.5 0 0 0 0 0 0 0.25 0.8 0 0 0 0.666666666666667 0.666666666666667 0 0 0.333333333333333 0.6 0.8 0.75 0
"Prunus_myrtifolia" 0 0 0 0 0 0 0 0 0 0.666666666666667 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0.333333333333333 1 0
"Psidium_cattleianum" 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0
"Psidium_guajava" 0.666666666666667 0 0 0 0.5 0.166666666666667 0.25 0.25 0.25 0 0 0 0.5 0 0 0 0 0 0 0.166666666666667 1 0 0 0 0 0.166666666666667 0.2 0
"Schinus_terebinthifolius" 0 0.5 0.2 0 0 0.545454545454545 0 0.4 0 0.666666666666667 0 0.2 0.333333333333333 0 0.375 0.5 0.75 0 0.2 0.333333333333333 0.75 0.25 0.166666666666667 0.307692307692308 0.142857142857143 0.461538461538462 0.666666666666667 0.111111111111111
"Syagrus_romanzoffiana" 0 0 0 0 0 0 0 0 0.666666666666667 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0
"Syzygium_cumini" 0 0 0 0 0.333333333333333 0 0 0 0 0.5 0 0 0.25 0 0.2 0 0 0 0 0 1 0 0 0.2 0 0.666666666666667 0.4 0
"Tapirira_guianensis" 0 0 0 1 0 0.5 1 0.5 0 0 0 1 0 0 0 1 0 0 0 1 0.5 0 0 0.5 0 0 0 0
"Trema_micrantha" 0 0 1 0 0.25 1 0 0 0 0.25 0 0 0.75 0.25 0.714285714285714 0.6 1 1 0.333333333333333 0.666666666666667 0.666666666666667 1 0.333333333333333 0.5 0.166666666666667 0.333333333333333 0.333333333333333 0.833333333333333
"Virola_bicuhyba" 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0.8 0 0 0 0 0.5 0 0 0 0.5 0 0.75 0.333333333333333 0.25 0
