"Aburria_jacutinga" "Antilophia_galeata" "Pteroglossus_bailloni" "Cacicus_chrysopterus" "Cacicus_haemorrhous" "Catharus_fuscescens" "Chiroxiphia_caudata" "Chiroxiphia_pareola" "Cissopis_leverianus" "Conirostrum_speciosum" "Coryphospingus_cucullatus" "Coryphospingus_pileatus" "Crax_blumenbachii" "Cyanerpes_cyaneus" "Cyclarhis_gujanensis" "Dacnis_cayana" "Dacnis_nigripes" "Eucometis_penicillata" "Euphonia_chlorotica" "Euphonia_pectoralis" "Euphonia_violacea" "Haplospiza_unicolor" "Hemithraupis_flavicollis" "Hemithraupis_guira" "Hemithraupis_ruficapilla" "Hylophilus_poicilotis" "Hylophilus_thoracicus" "Ilicura_militaris" "Manacus_manacus" "Nemosia_pileata" "Orthogonys_chloricterus" "Penelope_obscura" "Penelope_superciliaris" "Pipra_pipra" "Pipra_rubrocapilla" "Pipraeidea_melanonota" "Poospiza_lateralis" "Pteroglossus_aracari" "Pteroglossus_castanotis" "Pyrrhocoma_ruficeps" "Ramphastos_dicolorus" "Ramphastos_toco" "Ramphastos_vitellinus" "Ramphocelus_bresilius" "Ramphocelus_carbo" "Schistochlamys_ruficapillus" "Selenidera_maculirostris" "Sporophila_caerulescens" "Sporophila_leucoptera" "Stephanophorus_diadematus" "Tachyphonus_coronatus" "Tachyphonus_rufus" "Tangara_cayana" "Tangara_cyanocephala" "Tangara_cyanoptera" "Tangara_cyanoventris" "Tangara_desmaresti" "Tangara_mexicana" "Tangara_peruviana" "Tangara_preciosa" "Tangara_seledon" "Tersina_viridis" "Thlypopsis_sordida" "Thraupis_bonariensis" "Thraupis_cyanoptera" "Thraupis_episcopus" "Thraupis_ornata" "Thraupis_palmarum" "Thraupis_sayaca" "Trichothraupis_melanops" "Turdus_albicollis" "Turdus_amaurochalinus" "Turdus_flavipes" "Turdus_fumigatus" "Turdus_leucomelas" "Turdus_rufiventris" "Turdus_subalaris" "Vireo_olivaceus" "Volatinia_jacarina"
"Eugenia_involucrata" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Euterpe_edulis" 1 0 0.833333333333333 0 0.5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.75 0.25 0 0 0 0 1 0 0 0.777777777777778 0.5 1 0 0 0 0.888888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.916666666666667 0.4 1 0 0.5 0.666666666666667 0.333333333333333 0 0
"Ficus_enormis" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"Ficus_luschnathiana" 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0.5 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0.5 0 0 0.5 0 0 0
"Ficus_pertusa" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Guarea_macrophylla" 0.25 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0.4 0.166666666666667 0 0 0
"Hyeronima_alchorneoides" 0.25 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0.333333333333333 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 0.333333333333333 0.666666666666667 0 0.333333333333333 0 0 0.333333333333333 0 0 0
"Marlierea_reitzii" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Matayba_elaeagnoides" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0
"Miconia_cabucu" 0.333333333333333 0 0.333333333333333 0 0.5 0 0.333333333333333 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0.333333333333333 0 0 0 0.5 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0
"Miconia_inconspicua" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0
"Myrsine_coriacea" 0.666666666666667 0 0.333333333333333 0.666666666666667 1 0 0.666666666666667 0 1 0.5 0 0 0 0 0.5 0.666666666666667 0 0 0 1 0.5 0 0 1 0 0.666666666666667 0 1 0 0 0 0.333333333333333 0.5 0 0 0 0 0 0 0 0.8 0 0 0 1 0 0 1 0 1 0.75 0 1 1 0 0 1 0 0 0.5 1 0.666666666666667 0 0 1 0.333333333333333 1 0.75 0.8 0 0.666666666666667 0.75 0.4 0 0.714285714285714 0.714285714285714 0 0.833333333333333 0
"Myrsine_umbellata" 0.25 0 0 0 0.333333333333333 0 0.666666666666667 0 0 0 0 0 0 1 0 0.666666666666667 0 0 0 0.5 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0.333333333333333 0 0 0 0 0 1 0.666666666666667 0 0.5 0.666666666666667 0 0 0.5 0.666666666666667 0 0 0.5 0 0 0 0 0.5 1 0.4 0.75 0 0.4 0.428571428571429 0.428571428571429 0 0.666666666666667 0.4 0 0.6 0
"Myrsine_venosa" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pourouma_guianensis" 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Protium_widgrenii" 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sorocea_bonplandii" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0
"Tapirira_guianensis" 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.5 0 0 0.5 0 0 0 0 0 0 0
"Virola_bicuhyba" 0.4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 1 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Virola_gardneri" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alchornea_glandulosa" 0 1 0.5 0.666666666666667 1 0 0.333333333333333 0 0.5 0 0 0 0 0 0.333333333333333 0.777777777777778 1 0 0 0 0 0 0 1 0 0 1 0.333333333333333 0.5 0 1 0 0.25 0 0 0.666666666666667 0 0 0 0 0 0 0 0.5 0.333333333333333 1 0.25 0 0 0 1 1 0.5 0.75 0 0 0.333333333333333 0 0 0 1 0.666666666666667 0 0 0.333333333333333 0 0.666666666666667 0.6 0.75 0 0.428571428571429 0.333333333333333 0.6 0 0.666666666666667 0.5 0.666666666666667 0.857142857142857 0
"Callicarpa_reevesii" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 1 0 0 0.5 0 0 0 0
"Miconia_rubiginosa" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1
"Protium_spruceanum" 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0
"Richeria_grandis" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"Rubus_rosifolius" 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0.5 1 0 0 0
"Schinus_terebinthifolius" 0 1 0 0 0.5 0 0.2 0 0.5 0 0 0 0 0.5 0 0.545454545454545 0 0 0 0 0.4 0 0 1 0 0 0 0 0 0 0 0 0.666666666666667 0 0 0 0 1 0 0 0.2 0 1 0.25 0.333333333333333 0 0 0 0 1 0.375 0 0.5 0.75 0 0 0 0.666666666666667 1 1 0.333333333333333 0.2 0 1 1 0.8 0.666666666666667 0.333333333333333 0.75 0.25 0.166666666666667 0.307692307692308 0.142857142857143 0 0.461538461538462 0.666666666666667 0 0.111111111111111 0.4
"Trema_micrantha" 0 0 0.25 0 0 0 1 0 0 0 0 0 0 0 0.25 1 0 0 0 0.5 0 0 0 0 1 0.5 0 0 1 0.333333333333333 0 0 0.25 0 0 0 0 0 0 0 0 0.25 0 0.5 0.75 0 0.25 0.5 0 0 0.714285714285714 0 0.6 1 0 0 1 0.5 0 0 1 0.333333333333333 0.5 0 0.5 0.666666666666667 1 0.666666666666667 0.666666666666667 1 0.333333333333333 0.5 0.166666666666667 0 0.333333333333333 0.333333333333333 0 0.833333333333333 0
"Miconia_tristis" 0 0 0 0 0 0 0.666666666666667 0 0 1 0 0 0 0 0 0.333333333333333 0 0 1 0 0 0 0 0 0.666666666666667 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.666666666666667 0 0.5 0.333333333333333 1 0 0.666666666666667 0 0 0 0.333333333333333 1 0 0 0.5 1 0.666666666666667 0.5 0 0.666666666666667 0.333333333333333 0.333333333333333 0.333333333333333 0 0.333333333333333 0.666666666666667 0 0.5 0
"Myrsine_gardneriana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.5 0 1 0 0 0 0.5 0 0 0 0
"Alchornea_triplinervia" 0 0 1 0 0.5 0 1 0 0 0 0 0 0 1 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.666666666666667 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0.333333333333333 1 0.25 0.5 0 0 0.5 0 0.5 0
"Copaifera_trapezifolia" 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eugenia_uniflora" 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0.333333333333333 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0.571428571428571 0.2 1 0 0
"Ficus_eximia" 0 0 1 0 0 0 0.5 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 1 0 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0.5 0 0 0.5 0 0 0.5 0.5 0 0 0
"Livistona_chinensis" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 1 0 0.5 0.5 0 0 0
"Maytenus_gonoclada" 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"Miconia_budlejoides" 0 0 0.5 0 0 0 1 0 1 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0.5 0.333333333333333 0 0.5 0.5 0 0 1 0 0 0 0.5 0 0 0 0.5 0 0.5 0 0 0.666666666666667 0.333333333333333 0 0 0 0.333333333333333 0 0 0 0
"Miconia_cinnamomifolia" 0 0 0.75 0 0.333333333333333 0 0.5 0 0 0.5 0 0 0 0 0 0.571428571428571 0 0 0 0.333333333333333 0.25 0 0.5 0 0.25 0 0 0 0.333333333333333 0 0 0.333333333333333 0.5 1 1 0 0 1 0 0 0.333333333333333 0 0 0.333333333333333 0 0 0.666666666666667 0 0 0 0.333333333333333 0 0.4 1 0 1 1 1 0 0 1 0.5 1 0 0.666666666666667 0 0.666666666666667 0.25 0.333333333333333 0.5 0.333333333333333 0.5 0.2 0 0.428571428571429 0.428571428571429 0 0.25 0
"Miconia_discolor" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0
"Miconia_racemifera" 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0.5 1 0 0.5 0 0 0.5 0 0 0
"Myrcia_brasiliensis" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Prunus_myrtifolia" 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0.333333333333333 1 0 0 0
"Syzygium_cumini" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 1 0 0 0.2 0 0 0.666666666666667 0.4 0 0 0
"Virola_sebifera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0
"Miconia_pusilliflora" 0 0 0 0.333333333333333 0 0 0.5 0 0 0 0 0 0 0 0 0.25 0 0 0 0.5 0 0.5 0 0 0.25 0.333333333333333 0 0.666666666666667 0 0 0.333333333333333 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666666666666667 0.5 0 0 0.75 0 0 0.666666666666667 0 0 0 0.75 0 0 0 0.666666666666667 0 0.5 0 0 0.75 0.25 0.5 0.5 0 0 0.5 0 0.333333333333333 0
"Psidium_guajava" 0 0 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0.5 0.166666666666667 0 0 0.25 0 0.25 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 1 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.166666666666667 1 0 0 0 0 0 0.166666666666667 0.2 0 0 0
"Tetrorchidium_rubrivenium" 0 0 0 0.666666666666667 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.5 0 0.5 0 0 0 0 0 0
"Aegiphila_integrifolia" 0 0 0 0 0.5 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0.5 0 1 0 0 0 0 0 0.5 0 0 0.666666666666667 0 0 0 0 0 0 0.5 0 0.333333333333333 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.25 0.6 0 0.25 0.333333333333333 0 0 0.5 0.666666666666667 0 0.4 0
"Cupania_emarginata" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.333333333333333 0 0 0 0 0 0.333333333333333 0 0 0.333333333333333 0
