"bird_sp" "plant_sp" "int_s" "n.studies" "freq" "bird.gape" "seed.size" "family"
"Aburria_jacutinga" "Urera_baccifera" 0 3 0 19.115 2 "Cracidae"
"Aburria_jacutinga" "Vitex_polygama" 0 0 0 19.115 13 "Cracidae"
"Aburria_jacutinga" "Casearia_sylvestris" 0 3 0 19.115 22.8 "Cracidae"
"Aburria_jacutinga" "Eugenia_melanogyna" 0 1 0 19.115 25.36 "Cracidae"
"Aburria_jacutinga" "Ficus_luschthia" 0 0 0 19.115 1.6 "Cracidae"
"Aburria_jacutinga" "Geonoma_pauciflora" 0 1 0 19.115 6.9 "Cracidae"
"Aburria_jacutinga" "Leandra_australis" 0 1 0 19.115 0.91 "Cracidae"
"Aburria_jacutinga" "Leandra_pilonensis" 0 1 0 19.115 1.03 "Cracidae"
"Aburria_jacutinga" "Leandra_regnellii" 0 1 0 19.115 0.31 "Cracidae"
"Aburria_jacutinga" "Miconia_cubatanensis" 0 3 0 19.115 2.35 "Cracidae"
"Aburria_jacutinga" "Miconia_sellowiana" 0 1 0 19.115 1.15 "Cracidae"
"Aburria_jacutinga" "Morus_nigra" 0 2 0 19.115 2.3 "Cracidae"
"Aburria_jacutinga" "Myrcia_anacardiifolia" 0 1 0 19.115 9 "Cracidae"
"Aburria_jacutinga" "Myrcia_hebepetala" 0 2 0 19.115 10 "Cracidae"
"Aburria_jacutinga" "Myrcia_pubipetala" 0 2 0 19.115 6.58 "Cracidae"
"Aburria_jacutinga" "Myrcia_spectabilis" 0 2 0 19.115 9.805 "Cracidae"
"Aburria_jacutinga" "Rubus_urticifolius" 0 2 0 19.115 2.02 "Cracidae"
"Aburria_jacutinga" "Siphoneugena_densiflora" 0 1 0 19.115 8 "Cracidae"
"Aburria_jacutinga" "Marlierea_obscura" 0 2 0 19.115 9 "Cracidae"
"Aburria_jacutinga" "Maytenus_aquifolia" 0 0 0 19.115 5.5 "Cracidae"
"Aburria_jacutinga" "Copaifera_langsdorffii" 0 2 0 19.115 17 "Cracidae"
"Aburria_jacutinga" "Inga_marginata" 0 1 0 19.115 11 "Cracidae"
"Aburria_jacutinga" "Leandra_laevigata" 0 2 0 19.115 0.52 "Cracidae"
"Aburria_jacutinga" "Leandra_refracta" 0 1 0 19.115 0.5 "Cracidae"
"Aburria_jacutinga" "Leandra_sabiaensis" 0 1 0 19.115 0.58 "Cracidae"
"Aburria_jacutinga" "Miconia_latecrenata" 0 1 0 19.115 0.62 "Cracidae"
"Aburria_jacutinga" "Ossaea_amygdaloides" 0 1 0 19.115 1.05 "Cracidae"
"Aburria_jacutinga" "Piper_corintoanum" 0 1 0 19.115 1.33 "Cracidae"
"Aburria_jacutinga" "Trichilia_catigua" 0 0 0 19.115 12.5 "Cracidae"
"Aburria_jacutinga" "Trichilia_clausseni" 0 1 0 19.115 6 "Cracidae"
"Aburria_jacutinga" "Trichilia_elegans" 0 0 0 19.115 7.6 "Cracidae"
"Aburria_jacutinga" "Trichilia_pallida" 0 0 0 19.115 7 "Cracidae"
"Aburria_jacutinga" "Miconia_prasina" 0 0 0 19.115 0.6 "Cracidae"
"Aburria_jacutinga" "Acacia_auriculiformis" 0 0 0 19.115 4 "Cracidae"
"Aburria_jacutinga" "Ficus_citrifolia" 0 0 0 19.115 1.2 "Cracidae"
"Aburria_jacutinga" "Ficus_trigona" 0 0 0 19.115 1.1 "Cracidae"
"Aburria_jacutinga" "Piper_aduncum" 0 1 0 19.115 0.895 "Cracidae"
"Aburria_jacutinga" "Psidium_cattleianum" 0 3 0 19.115 4 "Cracidae"
"Aburria_jacutinga" "Alchornea_sidifolia" 0 0 0 19.115 6 "Cracidae"
"Aburria_jacutinga" "Ficus_benjamina" 0 0 0 19.115 1.21 "Cracidae"
"Aburria_jacutinga" "Ficus_hirsuta" 0 0 0 19.115 1 "Cracidae"
"Aburria_jacutinga" "Ficus_organensis" 0 0 0 19.115 0.7 "Cracidae"
"Aburria_jacutinga" "Miconia_ligustroides" 0 0 0 19.115 1.3 "Cracidae"
"Aburria_jacutinga" "Plinia_cauliflora" 0 0 0 19.115 10 "Cracidae"
"Aburria_jacutinga" "Eugenia_cerasiflora" 0 0 0 19.115 14 "Cracidae"
"Aburria_jacutinga" "Maclura_tinctoria" 0 1 0 19.115 2.5 "Cracidae"
"Aburria_jacutinga" "Myrcia_palustris" 0 0 0 19.115 5.12 "Cracidae"
"Aburria_jacutinga" "Lantana_camara" 0 2 0 19.115 4.3 "Cracidae"
"Aburria_jacutinga" "Lantana_pohliana" 0 0 0 19.115 3.3 "Cracidae"
"Aburria_jacutinga" "Euterpe_oleracea" 0 0 0 19.115 10.18 "Cracidae"
"Aburria_jacutinga" "Melia_azedarach" 0 1 0 19.115 3.5 "Cracidae"
"Aburria_jacutinga" "Leandra_carassana" 0 0 0 19.115 1.14 "Cracidae"
"Aburria_jacutinga" "Eugenia_umbelliflora" 0 0 0 19.115 12.06 "Cracidae"
"Aburria_jacutinga" "Sapium_glandulosum" 0 1 0 19.115 5 "Cracidae"
"Aburria_jacutinga" "Vitex_megapotamica" 0 0 0 19.115 13.3 "Cracidae"
"Aburria_jacutinga" "Leandra_melastomoides" 0 1 0 19.115 0.97 "Cracidae"
"Aburria_jacutinga" "Matayba_guianensis" 0 1 0 19.115 11.1 "Cracidae"
"Aburria_jacutinga" "Archontophoenix_cunninghamiana" 0 1 0 19.115 12.85 "Cracidae"
"Aburria_jacutinga" "Syagrus_romanzoffiana" 0 1 0 19.115 21 "Cracidae"
"Aburria_jacutinga" "Cecropia_hololeuca" 0 1 0 19.115 2.9 "Cracidae"
"Aburria_jacutinga" "Celtis_iguanaea" 0 1 0 19.115 7 "Cracidae"
"Aburria_jacutinga" "Calyptranthes_clusiifolia" 0 0 0 19.115 5.4 "Cracidae"
"Aburria_jacutinga" "Campomanesia_guazumifolia" 0 0 0 19.115 10 "Cracidae"
"Aburria_jacutinga" "Eugenia_florida" 0 0 0 19.115 10 "Cracidae"
"Aburria_jacutinga" "Eugenia_pyriformis" 0 0 0 19.115 16.6 "Cracidae"
"Aburria_jacutinga" "Eugenia_verticillata" 0 0 0 19.115 7 "Cracidae"
"Aburria_jacutinga" "Ficus_guaranitica" 0 0 0 19.115 2.4 "Cracidae"
"Aburria_jacutinga" "Guarea_kunthiana" 0 0 0 19.115 20 "Cracidae"
"Aburria_jacutinga" "Holocalyx_balansae" 0 0 0 19.115 2.1 "Cracidae"
"Aburria_jacutinga" "Myrcia_ilheosensis" 0 2 0 19.115 3.9 "Cracidae"
"Aburria_jacutinga" "Ficus_insipida" 0 0 0 19.115 2.8 "Cracidae"
"Aburria_jacutinga" "Inga_laurina" 0 0 0 19.115 22 "Cracidae"
"Aburria_jacutinga" "Roystonea_oleraceae" 0 0 0 19.115 9 "Cracidae"
"Aburria_jacutinga" "Eugenia_astringens" 0 1 0 19.115 13.62 "Cracidae"
"Aburria_jacutinga" "Inga_edulis" 0 1 0 19.115 21.3 "Cracidae"
"Aburria_jacutinga" "Morus_alba" 0 0 0 19.115 1.88 "Cracidae"
"Aburria_jacutinga" "Campomanesia_guaviroba" 0 1 0 19.115 8.5 "Cracidae"
"Aburria_jacutinga" "Miconia_cinerascens" 0 0 0 19.115 1.47 "Cracidae"
"Aburria_jacutinga" "Margaritaria_nobilis" 0 0 0 19.115 2.54 "Cracidae"
"Aburria_jacutinga" "Marlierea_tomentosa" 0 1 0 19.115 5.94 "Cracidae"
"Aburria_jacutinga" "Myrcia_tomentosa" 0 0 0 19.115 4.5 "Cracidae"
"Aburria_jacutinga" "Casearia_decandra" 0 1 0 19.115 4.4 "Cracidae"
"Aburria_jacutinga" "Leandra_aurea" 0 0 0 19.115 0.8 "Cracidae"
"Aburria_jacutinga" "Eugenia_cuprea" 0 1 0 19.115 13.04333333 "Cracidae"
"Aburria_jacutinga" "Eugenia_handroi" 0 0 0 19.115 11.9 "Cracidae"
"Aburria_jacutinga" "Eugenia_oblongata" 0 0 0 19.115 17 "Cracidae"
"Aburria_jacutinga" "Geonoma_elegans" 0 0 0 19.115 8.866666667 "Cracidae"
"Aburria_jacutinga" "Myrceugenia_myrcioides" 0 0 0 19.115 3 "Cracidae"
"Aburria_jacutinga" "Calyptranthes_concinna" 0 1 0 19.115 6 "Cracidae"
"Aburria_jacutinga" "Myrcia_hartwegiana" 0 0 0 19.115 3.7 "Cracidae"
"Aburria_jacutinga" "Leandra_barbinervis" 0 1 0 19.115 0.93 "Cracidae"
"Aburria_jacutinga" "Myrciaria_cuspidata" 0 0 0 19.115 5.6 "Cracidae"
"Aburria_jacutinga" "Rubus_brasiliensis" 0 1 0 19.115 3.69 "Cracidae"
"Antilophia_galeata" "Allophylus_edulis" 0 0 0 9.54 7.69 "Pipridae"
"Antilophia_galeata" "Cabralea_canjerana" 1 1 1 9.54 10 "Pipridae"
"Antilophia_galeata" "Campomanesia_xanthocarpa" 0 0 0 9.54 6 "Pipridae"
"Antilophia_galeata" "Cecropia_glaziovii" 0 0 0 9.54 2 "Pipridae"
"Antilophia_galeata" "Cecropia_pachystachya" 2 2 1 9.54 2 "Pipridae"
"Antilophia_galeata" "Citharexylum_myrianthum" 1 1 1 9.54 11 "Pipridae"
"Antilophia_galeata" "Coussapoa_microcarpa" 0 0 0 9.54 2.8 "Pipridae"
"Antilophia_galeata" "Cupania_oblongifolia" 0 0 0 9.54 11.8 "Pipridae"
"Antilophia_galeata" "Cupania_vernalis" 0 0 0 9.54 11 "Pipridae"
"Antilophia_galeata" "Eugenia_brasiliensis" 0 1 0 9.54 7.1 "Pipridae"
"Antilophia_galeata" "Eugenia_involucrata" 0 0 0 9.54 12 "Pipridae"
"Antilophia_galeata" "Euterpe_edulis" 0 0 0 9.54 11.7 "Pipridae"
"Antilophia_galeata" "Ficus_enormis" 0 0 0 9.54 15 "Pipridae"
"Antilophia_galeata" "Ficus_luschnathiana" 0 0 0 9.54 1.6 "Pipridae"
"Antilophia_galeata" "Ficus_pertusa" 0 0 0 9.54 1.1 "Pipridae"
"Antilophia_galeata" "Guarea_macrophylla" 0 0 0 9.54 12.8 "Pipridae"
"Antilophia_galeata" "Hyeronima_alchorneoides" 0 0 0 9.54 4 "Pipridae"
"Antilophia_galeata" "Marlierea_reitzii" 0 0 0 9.54 10.14 "Pipridae"
"Antilophia_galeata" "Matayba_elaeagnoides" 0 0 0 9.54 10 "Pipridae"
"Antilophia_galeata" "Miconia_cabucu" 0 0 0 9.54 2.6 "Pipridae"
"Antilophia_galeata" "Miconia_inconspicua" 0 0 0 9.54 1.13 "Pipridae"
"Antilophia_galeata" "Myrsine_coriacea" 0 1 0 9.54 2.99 "Pipridae"
"Antilophia_galeata" "Myrsine_umbellata" 0 0 0 9.54 3.7 "Pipridae"
"Antilophia_galeata" "Myrsine_venosa" 0 0 0 9.54 4.16 "Pipridae"
"Antilophia_galeata" "Pourouma_guianensis" 0 0 0 9.54 17.5 "Pipridae"
"Antilophia_galeata" "Protium_widgrenii" 0 0 0 9.54 16 "Pipridae"
"Antilophia_galeata" "Sorocea_bonplandii" 0 0 0 9.54 11.2 "Pipridae"
"Antilophia_galeata" "Tapirira_guianensis" 0 0 0 9.54 6.9 "Pipridae"
"Antilophia_galeata" "Virola_bicuhyba" 0 0 0 9.54 24 "Pipridae"
